outage_branch,outage_from_bus,outage_from_name,outage_to_bus,outage_to_name,outage_base_loading_pct,status,component_count,component_sizes,converged,max_loading_pct,worst_branch,worst_from_bus,worst_from_name,worst_to_bus,worst_to_name,overloaded_branch_count,min_voltage_pu,min_voltage_bus,min_voltage_name,voltage_violation_count,max_voltage_violation_pu,ac_loss_mw,message
33,13,동대문중랑,16,남양주,3.6625520913430245,OK,1,,True,98.48260691168467,264,134,광양,193,남해,0,0.9602165066724226,72,홍천,0,0.0,832.0852356135292,
34,13,동대문중랑,17,광진성동,34.14691179145701,OK,1,,True,98.48364233439122,264,134,광양,193,남해,0,0.960203575456092,72,홍천,0,0.0,832.2712516856409,
35,13,동대문중랑,22,강동송파,3.029851908360957,OK,1,,True,98.48249846747862,264,134,광양,193,남해,0,0.9602161676906317,72,홍천,0,0.0,832.0732920718729,
36,14,서대문은평,18,서울,34.99064911126474,OK,1,,True,98.48462010811217,264,134,광양,193,남해,0,0.9602458689505243,72,홍천,0,0.0,832.410240584999,
37,14,서대문은평,19,마포용산,10.687800268119469,OK,1,,True,98.48296507414685,264,134,광양,193,남해,0,0.9602025724297266,72,홍천,0,0.0,832.0528207910538,
38,14,서대문은평,23,남서울,29.109691119586223,OK,1,,True,98.48352693301128,264,134,광양,193,남해,0,0.9602174257619541,72,홍천,0,0.0,832.1287623045646,
39,15,구리,16,남양주,56.97399666490247,OK,1,,True,98.48437263044028,264,134,광양,193,남해,0,0.9602137119389935,72,홍천,0,0.0,832.342847725813,
40,16,남양주,17,광진성동,60.66727505426501,LIMIT_VIOLATION,1,,True,320.8844182751967,39,15,구리,16,남양주,6,0.960746694292052,72,홍천,0,0.0,860.1722744008002,
41,16,남양주,20,하남,5.026580205302707,OK,1,,True,98.48236459023241,264,134,광양,193,남해,0,0.9600598506085554,72,홍천,0,0.0,832.0669675862591,
42,16,남양주,22,강동송파,11.604217518164116,OK,1,,True,98.48096946255819,264,134,광양,193,남해,0,0.9601783848795391,72,홍천,0,0.0,831.9478580734867,
43,16,남양주,28,양평,94.69043695472702,LIMIT_VIOLATION,1,,True,103.99975531297166,42,16,남양주,22,강동송파,1,0.9538397476622401,67,양구,0,0.0,917.329561607301,
44,17,광진성동,18,서울,69.33745733663923,LIMIT_VIOLATION,1,,True,264.80486803226444,24,9,노원도봉,12,강북성북,6,0.9610348030919916,72,홍천,0,0.0,851.7707140331913,
45,18,서울,19,마포용산,54.14838590871207,LIMIT_VIOLATION,1,,True,130.16189926073943,36,14,서대문은평,18,서울,1,0.9604766725437309,72,홍천,0,0.0,834.8320303283399,
46,18,서울,30,서초,1.6483811944256723,OK,1,,True,98.48216376758565,264,134,광양,193,남해,0,0.9602146286723184,72,홍천,0,0.0,832.0228764647181,
47,19,마포용산,23,남서울,52.271143635034456,LIMIT_VIOLATION,1,,True,180.4632765562158,38,14,서대문은평,23,남서울,1,0.9602130393408485,72,홍천,0,0.0,836.1056980609283,
48,20,하남,22,강동송파,4.950508616126015,OK,1,,True,98.48226297499741,264,134,광양,193,남해,0,0.9600658663093238,72,홍천,0,0.0,832.0620524401456,
49,21,서인천,25,인천,2.210483129759624,OK,1,,True,98.48232041158177,264,134,광양,193,남해,0,0.9602151928719134,72,홍천,0,0.0,832.025945643094,
50,21,서인천,34,제물포,26.840856218874006,LIMIT_VIOLATION,1,,True,104.95856832965433,62,26,부천,34,제물포,1,0.9601692232735317,72,홍천,0,0.0,836.4609286086197,
51,22,강동송파,29,강남,33.46120677241619,OK,1,,True,98.4967071405696,264,134,광양,193,남해,0,0.9602452428015844,72,홍천,0,0.0,832.8315562905482,
52,22,강동송파,36,성남,1.89745730109704,OK,1,,True,98.48255858366555,264,134,광양,193,남해,0,0.960224451319076,72,홍천,0,0.0,832.0550424317917,
53,22,강동송파,38,광주,37.73326891964815,OK,1,,True,98.56863144901375,264,134,광양,193,남해,0,0.9598135939785852,72,홍천,0,0.0,833.8556654309796,
54,22,강동송파,46,동용인,20.107528829577177,OK,1,,True,98.45554311974371,264,134,광양,193,남해,0,0.9600859377697948,72,홍천,0,0.0,832.850026862885,
55,23,남서울,24,강서양천,25.646684030466844,OK,1,,True,98.49428851920804,264,134,광양,193,남해,0,0.9602104747180179,72,홍천,0,0.0,832.4051160595118,
56,23,남서울,32,광명,21.752640583738906,OK,1,,True,98.48644824396885,264,134,광양,193,남해,0,0.9602169266205849,72,홍천,0,0.0,832.120674524398,
57,23,남서울,33,구로금천,32.3605956079908,OK,1,,True,98.48302643783725,264,134,광양,193,남해,0,0.9602152816805231,72,홍천,0,0.0,832.0932559263456,
58,24,강서양천,26,부천,56.732581179264706,OK,1,,True,98.45665169170013,264,134,광양,193,남해,0,0.9602084058734423,72,홍천,0,0.0,830.5652951643424,
59,25,인천,26,부천,9.373923623981566,OK,1,,True,98.48257926392742,264,134,광양,193,남해,0,0.9602145354932016,72,홍천,0,0.0,832.1355275839596,
60,25,인천,34,제물포,9.544709350096774,OK,1,,True,98.48279094019959,264,134,광양,193,남해,0,0.9602142322299075,72,홍천,0,0.0,832.2198331505206,
61,26,부천,32,광명,4.101061636676796,OK,1,,True,98.48226528446564,264,134,광양,193,남해,0,0.9602154464019526,72,홍천,0,0.0,831.9767244854011,
62,26,부천,34,제물포,79.12250425510042,OK,1,,True,98.43250673181531,264,134,광양,193,남해,0,0.9601847752541611,72,홍천,0,0.0,832.17669810605,
63,27,영종,34,제물포,3.523796382706394,ISLANDING,2,192+1,False,nan,,,,,,,nan,,,,nan,nan,AC 계통이 분리되어 단일 slack AC-PF를 생략함
64,28,양평,38,광주,47.11860718326478,OK,1,,True,99.2625583033458,43,16,남양주,28,양평,0,0.9599632481943793,72,홍천,0,0.0,836.12362343118,
65,28,양평,41,여주,11.48789973722462,OK,1,,True,98.47384284372217,264,134,광양,193,남해,0,0.959213905961264,72,홍천,0,0.0,832.8315744674474,
66,28,양평,50,안성,13.646648956816415,LIMIT_VIOLATION,1,,True,104.28123696835765,43,16,남양주,28,양평,1,0.9589612204888852,72,홍천,0,0.0,843.0889626705612,
67,28,양평,80,태백,52.006808878524744,LIMIT_VIOLATION,1,,True,230.0321132586864,170,82,울진,86,영주,29,0.73174101895744,67,양구,31,0.18298651781438036,2828.164010772467,
68,29,강남,30,서초,42.420346519512506,OK,1,,True,98.49774432447252,264,134,광양,193,남해,0,0.9602060508358538,72,홍천,0,0.0,835.1074391041038,
69,29,강남,36,성남,38.73403192033113,OK,1,,True,98.4730205890262,264,134,광양,193,남해,0,0.96010449748362,72,홍천,0,0.0,833.5865301487211,
70,30,서초,31,관악동작,13.940598006193994,OK,1,,True,98.48459476458271,264,134,광양,193,남해,0,0.9602185139779269,72,홍천,0,0.0,832.4912689858611,
71,31,관악동작,33,구로금천,30.53870721616195,OK,1,,True,98.48079221407163,264,134,광양,193,남해,0,0.9602148705433021,72,홍천,0,0.0,831.6860259499372,
72,31,관악동작,36,성남,5.179152796367552,OK,1,,True,98.48302079848223,264,134,광양,193,남해,0,0.9602142133231982,72,홍천,0,0.0,832.1937380331801,
73,32,광명,33,구로금천,40.75770047400746,OK,1,,True,98.48414066228852,264,134,광양,193,남해,0,0.9602130623268142,72,홍천,0,0.0,832.46539860536,
74,32,광명,37,남인천,7.541132544873778,OK,1,,True,98.47861183247414,264,134,광양,193,남해,0,0.9602093363864597,72,홍천,0,0.0,832.5047577682853,
75,32,광명,44,서수원,15.858239433683336,OK,1,,True,98.45326015052393,264,134,광양,193,남해,0,0.9601746276005831,72,홍천,0,0.0,833.1760852070875,
76,34,제물포,37,남인천,30.809440448324143,OK,1,,True,98.43353124341834,264,134,광양,193,남해,0,0.9601554770623288,72,홍천,0,0.0,831.812220510983,
77,35,시흥,37,남인천,7.867036406382353,OK,1,,True,98.48610938297838,264,134,광양,193,남해,0,0.9602185432223711,72,홍천,0,0.0,832.1871210630634,
78,35,시흥,40,안산,30.29888786609086,OK,1,,True,98.4823751687913,264,134,광양,193,남해,0,0.9602064381317771,72,홍천,0,0.0,833.1731033348624,
79,36,성남,38,광주,25.180387765817606,OK,1,,True,98.4982170839571,264,134,광양,193,남해,0,0.9601742556373288,72,홍천,0,0.0,832.4491313434119,
80,36,성남,43,경기,9.06217964850673,OK,1,,True,98.4896048999137,264,134,광양,193,남해,0,0.960220222594247,72,홍천,0,0.0,832.3119593143492,
81,36,성남,44,서수원,12.153147108325303,OK,1,,True,98.45579614598145,264,134,광양,193,남해,0,0.9601885284952313,72,홍천,0,0.0,832.0920302323502,
82,36,성남,46,동용인,27.58900611348261,OK,1,,True,98.45144099889913,264,134,광양,193,남해,0,0.9601554569065535,72,홍천,0,0.0,834.3666567163746,
83,37,남인천,40,안산,40.117941729866,OK,1,,True,98.30902861914542,264,134,광양,193,남해,0,0.9599154949494902,72,홍천,0,0.0,844.3425677929044,
84,38,광주,42,이천,16.410067011985934,OK,1,,True,98.49369269251834,264,134,광양,193,남해,0,0.9603071268382201,72,홍천,0,0.0,831.9230292784778,
85,38,광주,45,서용인,8.742836876034557,OK,1,,True,98.47656060888391,264,134,광양,193,남해,0,0.9601785363375709,72,홍천,0,0.0,832.0691525090806,
86,38,광주,46,동용인,5.9969747565314755,OK,1,,True,98.48245423566455,264,134,광양,193,남해,0,0.9601874258619716,72,홍천,0,0.0,832.0166933381988,
87,38,광주,84,충주,36.423549046934056,OK,1,,True,98.98072376451532,264,134,광양,193,남해,0,0.9579687022229271,72,홍천,0,0.0,836.3338623046293,
88,39,안양,44,서수원,37.60079013117351,ISLANDING,2,192+1,False,nan,,,,,,,nan,,,,nan,nan,AC 계통이 분리되어 단일 slack AC-PF를 생략함
89,40,안산,44,서수원,31.976895885483852,OK,1,,True,98.50225153095606,264,134,광양,193,남해,0,0.9602239632801834,72,홍천,0,0.0,835.1108269639954,
90,40,안산,47,화성,43.808737169209145,OK,1,,True,98.96799331416263,264,134,광양,193,남해,0,0.9605673984438259,72,홍천,0,0.0,849.1103024160839,
91,41,여주,42,이천,27.166558707200682,OK,1,,True,98.54198715620875,264,134,광양,193,남해,0,0.9598057813226676,72,홍천,0,0.0,833.0408433521807,
92,41,여주,52,음성,7.3285012914624845,OK,1,,True,98.4941324616448,264,134,광양,193,남해,0,0.9597738142257796,72,홍천,0,0.0,832.0730840282195,
93,41,여주,77,원주,44.78118808574877,OK,1,,True,98.81997472035215,264,134,광양,193,남해,0,0.9530281179954299,77,원주,0,0.0,832.5862150039029,
94,42,이천,46,동용인,18.350459273925424,OK,1,,True,98.51035807307532,264,134,광양,193,남해,0,0.9603001170417352,72,홍천,0,0.0,831.6174782532908,
95,42,이천,84,충주,17.40864117651296,OK,1,,True,98.5352179446825,264,134,광양,193,남해,0,0.959859659775445,72,홍천,0,0.0,832.2470260694099,
96,43,경기,44,서수원,56.36081365889495,OK,1,,True,98.47707294709087,264,134,광양,193,남해,0,0.9601715731260809,72,홍천,0,0.0,837.6251898408664,
97,44,서수원,48,오산,20.734820067711432,OK,1,,True,98.47941263068158,264,134,광양,193,남해,0,0.9602013005229713,72,홍천,0,0.0,832.5707229759428,
98,44,서수원,57,아산,51.32290791205813,OK,1,,True,99.48629749109053,43,16,남양주,28,양평,0,0.9596787573223763,72,홍천,0,0.0,842.4865810655319,
99,45,서용인,46,동용인,27.421841664829593,OK,1,,True,98.45234134379713,264,134,광양,193,남해,0,0.9601300409322706,72,홍천,0,0.0,833.6440052452526,
100,45,서용인,50,안성,42.48750296292999,OK,1,,True,98.41943537464657,264,134,광양,193,남해,0,0.9599862082810047,72,홍천,0,0.0,838.3378534166986,
101,46,동용인,48,오산,10.215894573009312,OK,1,,True,98.47763720512633,264,134,광양,193,남해,0,0.9602033433238119,72,홍천,0,0.0,832.0531029720441,
102,46,동용인,50,안성,60.17694324057656,OK,1,,True,99.85514051320227,43,16,남양주,28,양평,0,0.9598115862423626,72,홍천,0,0.0,842.3549514323677,
103,47,화성,49,서평택,28.904576837818862,OK,1,,True,98.47747074472703,264,134,광양,193,남해,0,0.9601720820884896,72,홍천,0,0.0,833.2131470659224,
104,47,화성,60,예산,67.73518103757888,LIMIT_VIOLATION,1,,True,100.32306156102099,90,40,안산,47,화성,2,0.9595324699847754,72,홍천,0,0.0,856.8920917672076,
105,48,오산,49,서평택,15.20311887893018,OK,1,,True,98.46715419036569,264,134,광양,193,남해,0,0.9601906730972083,72,홍천,0,0.0,832.098687818434,
106,48,오산,51,평택,44.10316848680472,OK,1,,True,98.46121304298953,264,134,광양,193,남해,0,0.960112266979896,72,홍천,0,0.0,834.0075564246363,
107,49,서평택,51,평택,24.712603961539376,OK,1,,True,98.50056226586526,264,134,광양,193,남해,0,0.9601660815890771,72,홍천,0,0.0,834.2122006240243,
108,49,서평택,53,당진,50.41850602487583,OK,1,,True,98.39246510420179,264,134,광양,193,남해,0,0.9601346569572634,72,홍천,0,0.0,834.337970700537,
109,50,안성,51,평택,28.21778448801142,OK,1,,True,98.47445990648444,264,134,광양,193,남해,0,0.9599772441444522,72,홍천,0,0.0,832.3147513962758,
110,50,안성,54,진천,5.6618072575425105,OK,1,,True,98.47664233302703,264,134,광양,193,남해,0,0.9601443103529106,72,홍천,0,0.0,831.8601169469039,
111,50,안성,62,충북,8.011776733316447,OK,1,,True,98.1528947848314,264,134,광양,193,남해,0,0.9598736619206599,72,홍천,0,0.0,837.9054218209494,
112,51,평택,55,천안,18.230136557735026,OK,1,,True,98.44510048307039,264,134,광양,193,남해,0,0.9602008198130229,72,홍천,0,0.0,831.6913465224789,
113,51,평택,57,아산,13.273600989596702,OK,1,,True,98.4551579611692,264,134,광양,193,남해,0,0.9602066302277728,72,홍천,0,0.0,831.7936836517765,
114,52,음성,54,진천,11.866774890201139,OK,1,,True,98.4731586668387,264,134,광양,193,남해,0,0.9599227307651585,72,홍천,0,0.0,832.3249576461094,
115,52,음성,56,증평괴산,6.7937190964932554,OK,1,,True,98.48944661506026,264,134,광양,193,남해,0,0.9600515419508086,72,홍천,0,0.0,832.0119698145427,
116,52,음성,84,충주,35.47929807984925,OK,1,,True,98.67686979138267,264,134,광양,193,남해,0,0.9596313675462139,72,홍천,0,0.0,831.9520143996051,
117,53,당진,55,천안,34.97460064405829,OK,1,,True,98.51952934865288,264,134,광양,193,남해,0,0.960122508734049,72,홍천,0,0.0,840.8596105274919,
118,53,당진,58,서산,67.41860401275245,OK,1,,True,98.53276140075187,264,134,광양,193,남해,0,0.9601725533399212,72,홍천,0,0.0,841.1216439192212,
119,53,당진,63,홍성,5.9600190078331865,OK,1,,True,98.4910863442812,264,134,광양,193,남해,0,0.9600766406399025,72,홍천,0,0.0,833.8655726248835,
120,54,진천,55,천안,14.416794301381678,OK,1,,True,98.45680602323533,264,134,광양,193,남해,0,0.9601887899821979,72,홍천,0,0.0,831.9529780785087,
121,54,진천,61,동청주,3.1950220242843907,OK,1,,True,98.48072152449289,264,134,광양,193,남해,0,0.9602097325754134,72,홍천,0,0.0,832.0391019208473,
122,54,진천,62,충북,16.77311465269296,OK,1,,True,98.44948075330797,264,134,광양,193,남해,0,0.9601251181974327,72,홍천,0,0.0,832.8537825750682,
123,55,천안,57,아산,12.560899588071504,OK,1,,True,98.49803351886773,264,134,광양,193,남해,0,0.9602219358098772,72,홍천,0,0.0,832.2063136671059,
124,55,천안,64,세종,6.241447884414958,OK,1,,True,98.48052325512245,264,134,광양,193,남해,0,0.9601960526854167,72,홍천,0,0.0,832.0331541739579,
125,56,증평괴산,61,동청주,16.45060696027169,OK,1,,True,98.4519366730413,264,134,광양,193,남해,0,0.9599355040841077,72,홍천,0,0.0,833.070708611689,
126,57,아산,60,예산,28.51074384701566,OK,1,,True,98.47425846818597,264,134,광양,193,남해,0,0.960209817508248,72,홍천,0,0.0,832.6600668709143,
127,57,아산,97,청양,67.39555826575216,OK,1,,True,97.4146250013882,264,134,광양,193,남해,0,0.9596639733836809,72,홍천,0,0.0,852.0367120405572,
128,58,서산,59,태안,80.19378373393438,ISLANDING,2,192+1,False,nan,,,,,,,nan,,,,nan,nan,AC 계통이 분리되어 단일 slack AC-PF를 생략함
129,58,서산,63,홍성,57.639020393273036,LIMIT_VIOLATION,1,,True,182.6965901908282,118,53,당진,58,서산,1,0.9602033352770634,72,홍천,0,0.0,861.7225769449287,
130,60,예산,63,홍성,23.411201153507808,OK,1,,True,98.54469790870243,264,134,광양,193,남해,0,0.9602203006123418,72,홍천,0,0.0,832.043491040793,
131,60,예산,100,보령,69.08327236213319,OK,1,,True,97.55515890964443,264,134,광양,193,남해,0,0.9596941323667815,72,홍천,0,0.0,858.0847741551261,
132,61,동청주,62,충북,27.640748537481493,OK,1,,True,98.47594337301867,264,134,광양,193,남해,0,0.9601810490735633,72,홍천,0,0.0,832.9277119739709,
133,62,충북,63,홍성,18.459608116500366,OK,1,,True,97.96747418302402,264,134,광양,193,남해,0,0.9597347246512131,72,홍천,0,0.0,881.0561626338604,
134,62,충북,64,세종,40.83430067650617,OK,1,,True,98.04133644855717,264,134,광양,193,남해,0,0.9597440645378277,72,홍천,0,0.0,830.6758374691271,
135,63,홍성,97,청양,32.01098867861202,OK,1,,True,98.32990832994118,264,134,광양,193,남해,0,0.960160177831256,72,홍천,0,0.0,833.3106297202467,
136,64,세종,96,공주,29.32534889478811,OK,1,,True,98.32619476563414,264,134,광양,193,남해,0,0.9602167056894818,72,홍천,0,0.0,833.0149795429461,
137,64,세종,98,대전세종충남,6.85123602678797,OK,1,,True,98.48879024359137,264,134,광양,193,남해,0,0.9602203554425146,72,홍천,0,0.0,832.1467015473463,
138,64,세종,99,대덕유성,14.903838528388727,OK,1,,True,98.5210745260084,264,134,광양,193,남해,0,0.9602313679983958,72,홍천,0,0.0,832.5699125115061,
139,64,세종,102,옥천,28.479979106017655,OK,1,,True,98.44264101167384,264,134,광양,193,남해,0,0.9596085032769429,72,홍천,0,0.0,837.6823919060407,
140,65,속초고성,68,양양,52.844584641381296,OK,1,,True,98.67544880712076,264,134,광양,193,남해,0,0.9481608262315205,65,속초고성,0,0.0,842.5754005558847,
141,65,속초고성,69,인제,43.47563155134139,OK,1,,True,98.62982296960222,264,134,광양,193,남해,0,0.9562170041450596,69,인제,0,0.0,838.52552846451,
142,66,화천,67,양구,63.22479182576964,OK,1,,True,98.87410991908826,264,134,광양,193,남해,0,0.9551710285686419,72,홍천,0,0.0,844.3003635335626,
143,66,화천,70,강원,9.883468210929692,OK,1,,True,98.48069332825071,264,134,광양,193,남해,0,0.9583313651328161,72,홍천,0,0.0,832.5160046903475,
144,67,양구,69,인제,65.278769724503,OK,1,,True,98.89640685514999,264,134,광양,193,남해,0,0.9546266214908514,72,홍천,0,0.0,845.8572204754746,
145,68,양양,69,인제,65.86121267675226,OK,1,,True,98.75424050650228,264,134,광양,193,남해,0,0.954605081174715,69,인제,0,0.0,844.7175277244096,
146,68,양양,71,강릉,51.61116578011574,OK,1,,True,99.9822792360125,43,16,남양주,28,양평,0,0.9503839898458217,78,평창,0,0.0,884.2696994371217,
147,69,인제,72,홍천,37.649706588693675,OK,1,,True,98.57280598218436,264,134,광양,193,남해,0,0.9580326577591399,67,양구,0,0.0,838.40855561434,
148,70,강원,72,홍천,40.272253693576104,OK,1,,True,98.68695307067709,264,134,광양,193,남해,0,0.9578653410036007,72,홍천,0,0.0,835.580485622384,
149,71,강릉,73,동해,5.792450458824522,OK,1,,True,98.45640678353818,264,134,광양,193,남해,0,0.9562945440815493,67,양구,0,0.0,836.1059401292732,
150,71,강릉,78,평창,53.55101844059843,OK,1,,True,98.53964547392873,264,134,광양,193,남해,0,0.9556314717592204,69,인제,0,0.0,843.9278656388633,
151,72,홍천,74,횡성,12.59969549612388,OK,1,,True,98.53214746384259,264,134,광양,193,남해,0,0.9579984774308844,72,홍천,0,0.0,832.2946911646868,
152,73,동해,75,삼척,79.83579536166012,LIMIT_VIOLATION,1,,True,126.24785779937086,159,75,삼척,82,울진,1,0.9699307470110645,74,횡성,0,0.0,842.5388752176368,
153,73,동해,76,정선,42.45550525953409,OK,1,,True,98.45871289036724,264,134,광양,193,남해,0,0.9589447537948821,72,홍천,0,0.0,839.9372508342349,
154,73,동해,79,영월,40.89909900567019,OK,1,,True,98.45562421551448,264,134,광양,193,남해,0,0.9590007181730368,72,홍천,0,0.0,838.9107558158721,
155,73,동해,80,태백,47.145822800948224,OK,1,,True,98.6035798769058,264,134,광양,193,남해,0,0.958189328351141,72,홍천,0,0.0,839.8726805503102,
156,73,동해,81,제천,83.52791494062329,OK,1,,True,99.3013214681349,170,82,울진,86,영주,0,0.9480336884709429,69,인제,0,0.0,893.1909718907264,
157,74,횡성,77,원주,24.04529363105296,OK,1,,True,98.50493515649312,264,134,광양,193,남해,0,0.9575254680550407,74,횡성,0,0.0,833.5076018484979,
158,74,횡성,78,평창,44.72512494833371,OK,1,,True,98.73036395841623,264,134,광양,193,남해,0,0.9571000650069011,69,인제,0,0.0,838.6874862512195,
159,75,삼척,82,울진,46.69522767409334,LIMIT_VIOLATION,1,,True,126.19899737255236,152,73,동해,75,삼척,2,0.9517722677363407,67,양구,0,0.0,876.1158239109936,
160,76,정선,79,영월,33.32833597515892,OK,1,,True,98.45568218392783,264,134,광양,193,남해,0,0.9592316839598641,72,홍천,0,0.0,836.6946170865704,
161,77,원주,81,제천,54.67736209591286,OK,1,,True,98.90895410924155,264,134,광양,193,남해,0,0.9567511477030689,74,횡성,0,0.0,838.2794052055397,
162,78,평창,81,제천,6.809098714004184,OK,1,,True,98.46439248698188,264,134,광양,193,남해,0,0.9585821313530848,74,횡성,0,0.0,832.3965269304463,
163,79,영월,80,태백,17.965416113888196,OK,1,,True,98.41089883650373,264,134,광양,193,남해,0,0.9603622146862202,72,홍천,0,0.0,831.9989896433108,
164,79,영월,81,제천,31.154373099771078,OK,1,,True,98.47550651709305,264,134,광양,193,남해,0,0.9601009824158468,72,홍천,0,0.0,831.9773287623102,
165,79,영월,83,단양,43.81958914935826,OK,1,,True,98.09365748840663,264,134,광양,193,남해,0,0.9448183741583849,83,단양,0,0.0,843.3789863823331,
166,80,태백,82,울진,48.20813752753507,LIMIT_VIOLATION,1,,True,250.37059413094232,155,73,동해,80,태백,10,0.8903491180500979,74,횡성,16,0.05374638528293707,1846.357467974056,
